ULTIMA ATUALIZACAO;05/12/2020 02:00
NUMERO_CONTRATO;UNIDADE_GESTORA;CONTRATADA;CNPJ;OBJETO;DATA_ASSINATURA;DATA_PUBLICACAO;INICIO_VIGENCIA;FIM_VIGENCIA;MODALIDADE;NUMERO_LICITACAO;PROCESSO
"CT-CT/20040006";"Senado Federal";"TERRA NETWORKS BRASIL S.A.";"91.088.328/0001-67";"Cessão de Direitos para Retransmissao dos Programas da TV Senado.";"28/01/2004";"";"28/01/2004";"";"Não se Aplica";"";"200.019599/2003-50"
"CT-CT/20040116";"Senado Federal";"TIM CELULAR S/A";"04.206.050/0001-80";"Fornecimento gracioso de conteúdo de canais de televisao para transmissão, ao vivo, em celulares ativados em Planos de Serviço TIM.";"15/10/2004";"";"15/10/2004";"";"Não se Aplica";"";"200.015585/2004-48"
"PI-PI/20050012";"Senado Federal";"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA E COMÉRCIO EXTERIOR";"00.394.478/0002-24";"Cooperação técnico-científica e cultural e o intercâmbio de conhecimentos.";"23/03/2005";"04/08/2005";"23/03/2005";"";"Não se Aplica";"";"200.015353/2005-71"
"CN-TC/20050061";"Senado Federal";"PODERES EXECUTIVO, LEGISLATIVO E JUDICIÁRIO";"00.000.000/0365-26";"Implantação dos serviços de televisao para o exterior, no âmbito da RADIOBRAS.";"10/02/2005";"16/02/2005";"10/02/2005";"";"Não se Aplica";"";"200.004950/2005-70"
"CN-CN/20060041";"Senado Federal";"ASSOCIAÇÃO DE COMUNICAÇÃO EDUCATIVA ROQUETTE PINTO - ACERP";"02.196.013/0001-03";"Compartilhamento pelo SENADO FEDERAL da torre de rádio e televisão da ACERP e sua área física adjacente, localizada na cidade do Rio de Janeiro/RJ, de modo a viabilizar a retransmissão dos sinais da TV Senado e Rádio Senado, em UHF e FM.";"29/12/2006";"16/01/2007";"29/12/2006";"";"Não se Aplica";"";"200.000940/2007-27"
"CS-CS/20060006";"Senado Federal";"CAIXA ECONÔMICA FEDERAL - CEF.";"00.360.305/0001-04";"Ocupação de área de 221m², localizada no Edificio da Secretaria Especial de Editoração e Publicações - SEEP.";"20/07/2006";"02/10/2006";"20/07/2006";"";"Não se Aplica";"";"200.005244/2005-45"
"CN-CN/20060027";"Senado Federal";"FUNDAÇÃO DE TELEDUCAÇÃO DO CEARÁ - FUNTELC";"09.470.303/0001-42";"Compartilhamento pelo SENADO FEDERAL da torre de rádio e televisão da FUNTELC e sua área física adjacente, localizada na cidade de Fortaleza-CE, de modo a viabilizar a retransmissão dos sinais da TV Senado e Rádio Senado, em UHF/VHF e FM/AM.";"14/07/2006";"18/07/2006";"14/07/2006";"";"Não se Aplica";"";"200.014173/2006-52"
"CN-CN/20060034";"Senado Federal";"INSTITUTO ZUMBI DOS PALMARES";"04.228.439/0001-27";"Compartilhamento pelo SENADO FEDERAL da torre de rádio e televisão do IZP e sua área física adjacente, localizada na cidade de Maceió-AL, de modo a viabilizar a retransmissão dos sinais da TV Senado e Rádio Senado, em UHF/VHF e FM/AM.";"17/10/2006";"30/10/2006";"17/10/2006";"";"Não se Aplica";"";"200.017320/2006-46"
"CN-CN/20060031";"Senado Federal";"UNIVERSIDADE FEDERAL DE RORAIMA";"34.792.077/0001-63";"Compartilhamento pelo SENADO FEDERAL da torre de rádio e televisão da UFRR e sua área adjacente, localizada na cidade de Boa Vista-RR, de modo a viabilizar a retransmissão dos sinais da TV Senado e Rádio SEnado, em UHF/VHF e FM/AM.";"22/08/2006";"24/08/2006";"22/08/2006";"";"Não se Aplica";"";"200.017233/2006-99"
"CT-CT/20070120";"Senado Federal";"ETMETAL COMÉRCIO E INDUSTRIA DE PLACAS METÁLICAS LTDA";"34.015.669/0001-79";"Fornecimento de bottons administrativos.";"07/12/2007";"10/12/2007";"07/12/2007";"";"Pregão";"02392007";"200.006455/2007-67"
"CT-CT/20070140";"Senado Federal";"HITACHI KOKUSAI LINEAR EQUIPAMENTOS ELETRÔNICOS S/A";"19.690.445/0001-79";"Fornecimento e instalação de equipamentos e insumos necessários a instalação de retransmissoras da TV Senado, em UHF, nas cidades de Rio de Janeiro, João Pessoa e Maceió (esta última, sem instalação) e de emissora da Rádio Senado em FM, no Rio de Janeiro.";"31/12/2007";"24/01/2008";"31/12/2007";"";"Pregão";"02762007";"200.012458/2007-30"
"CT-CT/20070130";"Senado Federal";"LANNES DE SOUZA CAMINHA";"011.071.937-15";"Cessão de direitos autorais de forma total e definitiva da edição de sua obra, em co-autoria com o Sr. Cláudio Rubens Pereira Fornari: A Família eqüina; Grandeza e legado, ""Uma enciclopédia sobre equitação, cavalaria, grandes nomes do assunto etc"".";"31/12/2007";"14/12/2007";"31/12/2007";"";"Inexigibilidade";"";"200.020974/2007-38"
"CT-CT/20070084";"Senado Federal";"METROQUATTRO ARQUITETURA TECNOLOGIA LTDA";"00.956.114/0001-00";"Elaboração de projetos de instalações técnicas para plenário do Senado.";"09/08/2007";"10/08/2007";"09/08/2007";"";"Tomada de Preços";"00052007";"200.017906/2006-19"
"CS-CS/20080006";"Senado Federal";"AMERICEL S/A";"01.685.903/0001-16";"Cessão de Uso do espaço fisico, localizado no Anexo II, Subsolo, Estacionamento Oficial dos Servidores do Senado, com área de 14,79m, para instalação de um equipamento de telefonia ""indoor"" da AMERICEL.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002320/2008-11"
"CS-CS/20080014";"Senado Federal";"ASSESSORIA PARLAMENTAR DO COMANDO DO EXÉRCITO.";"00.394.452/0001-03";"Cessão de Uso do espaço fisico, localizado nas salas nº 06 e 11, do 27º andar do Edifício Anexo I do SENADO FEDERAL, com área de 41,81m², para a instalação da Assessoria Parlamentar do Comando do Exército - ExB - disponibilizando duas (02) linhas telefônicas e equipamentos de informática com acesso a internet e sinal de TV .";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002316/2008-45"
"CS-CS/20080009";"Senado Federal";"ASSOCIAÇÃO DOS SERVIDORES INATIVOS E PENSIONISTAS DO SENADO";"37.173.960/0001-63";"Cessão de Uso do espaço fisico, localizado na sala 11, 4º andar do Anexo I do Senado, com área de 12,73m², para instalação da Associação dos Servidores Inativos e Pensionistas do Senado.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.001557/2008-77"
"CS-CS/20080028";"Senado Federal";"BANCO ABN AMRO REAL S.A.";"33.066.408/0001-15";"Permissão de Uso do espaço fisico, localizado no Edificio Anexo II, bloco A - Hall de entrada do Senado, com área de 4,00m² (quatro metros quadrados), para instalação de equipamento de um Caixa Eletrônico do Banco Real.";"01/01/2008";"14/07/2008";"01/01/2008";"";"Não se Aplica";"";"200.002323/2008-47"
"CS-CS/20080026";"Senado Federal";"CAIXA ECONÔMICA FEDERAL - CEF.";"00.360.305/0001-04";"Permissão de Uso do espçao fisico, localizado: 1) no Anexo C, sub-solo; 2) no 1º andar do Edificio da SEEP, Hall de entrada da Diretoria Executivo, com áreas de 38,74 + 16,00m² + 04,00m² = 58,74m², para instalaçoes de Agencias e 4 Caixas Eletrônicos.";"01/01/2008";"30/06/2008";"01/01/2008";"";"Não se Aplica";"";"200.010529/2003-36"
"CS-CS/20080007";"Senado Federal";"COMANDO DA AERONÁUTICA - COMAER.";"00.394.429/0057-65";"Cessao de Uso do espaço fisico, localizado na sala 08 do 27º andar do Edifício anexo I do Senado, com área de 29,08m², para instalação da Assessoria Parlamentar da Aeronáutica.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.001556/2008-22"
"CS-CS/20080025";"Senado Federal";"COMANDO DA MARINHA DO BRASIL - CMB.";"00.394.502/0001-44";"Cessão de Uso do espaço físico, localizado na sala 07 do 27º andar do Edifício Anexo I do Senado, com área de 29,08m², para instalação da Assessoria Parlamentar do Comando da Marinha.";"01/01/2008";"23/06/2008";"01/01/2008";"";"Não se Aplica";"";"200.002178/2008-02"
